seed,minsum_mean,minsum_variance,gamma,op_mean,op_variance,mean_gap_pct,variance_reduction_pct
0,29.4,262.24,32.0,29.8,206.56000000000003,1.3605442176870821,21.232458816351425
1,23.0,212.8,32.0,23.6,182.24,2.6086956521739193,14.360902255639097
2,26.6,111.44000000000001,16.0,27.6,94.24000000000001,3.7593984962406015,15.434314429289303
3,22.6,271.84000000000003,0.0,23.4,20.24,3.539823008849545,92.55444379046499
4,41.0,258.8,0.0,42.8,165.35999999999999,4.390243902439018,36.105100463678525
5,47.2,1340.16,16.0,48.0,716.0,1.694915254237282,46.573543457497614
6,26.2,177.76000000000002,32.0,26.2,177.76000000000002,0.0,0.0
7,22.6,37.84,0.5,22.6,37.84,0.0,0.0
8,8.0,30.8,64.0,8.0,30.8,0.0,0.0
9,42.8,1062.16,16.0,45.8,205.35999999999999,7.009345794392524,80.66581306017925
10,24.0,240.8,8.0,26.0,88.8,8.333333333333334,63.12292358803987
11,26.6,401.84000000000003,8.0,29.0,121.2,9.022556390977439,69.83874178777623
12,31.0,308.0,4.0,32.0,164.0,3.225806451612903,46.753246753246756
13,17.4,197.83999999999997,4.0,18.4,52.24000000000001,5.74712643678161,73.59482410028305
14,42.0,868.8,32.0,44.0,645.2,4.761904761904762,25.736648250460398
15,8.8,103.35999999999999,32.0,8.8,103.35999999999999,0.0,0.0
16,32.0,770.0,64.0,34.2,128.56,6.875000000000009,83.30389610389611
17,38.2,399.76,16.0,39.8,146.16000000000003,4.188481675392655,63.43806283770262
18,25.0,178.0,4.0,25.2,51.760000000000005,0.7999999999999972,70.92134831460675
19,26.6,188.64000000000001,8.0,27.4,97.44,3.0075187969924704,48.34605597964377
20,23.4,457.43999999999994,16.0,23.4,190.24,0.0,58.41203217908359
21,25.2,113.75999999999999,16.0,26.2,32.160000000000004,3.9682539682539684,71.72995780590718
22,14.0,216.8,64.0,14.0,216.8,0.0,0.0
23,24.6,175.04000000000002,32.0,26.0,83.2,5.6910569105691,52.46800731261426
24,8.6,19.439999999999998,16.0,8.8,11.36,2.32558139534885,41.563786008230444
25,36.4,940.24,64.0,39.0,505.2,7.142857142857146,46.26903769250404
26,16.2,430.9599999999999,4.0,17.8,106.16,9.876543209876552,75.36662335251532
27,31.0,113.6,32.0,31.0,113.6,0.0,0.0
28,11.0,49.6,16.0,11.2,39.36,1.8181818181818117,20.645161290322584
29,77.6,933.8399999999999,32.0,77.6,933.8399999999999,0.0,0.0
31,20.4,353.04,8.0,21.0,77.2,2.9411764705882426,78.1327894856107
32,10.0,18.0,0.5,10.2,16.56,1.999999999999993,8.000000000000007
33,22.0,219.2,64.0,22.6,162.64,2.7272727272727337,25.802919708029197
34,34.4,170.24000000000004,32.0,35.4,56.24000000000001,2.906976744186047,66.96428571428572
35,46.2,1460.56,64.0,50.0,1062.4,8.225108225108219,27.260776688393484
36,38.6,1543.8400000000004,16.0,47.8,176.56,23.8341968911917,88.56358171831278
37,55.4,1069.8400000000001,32.0,60.4,674.64,9.025270758122744,36.94010319300083
38,26.0,22.0,4.0,26.0,22.0,0.0,0.0
39,27.0,417.6,64.0,27.0,417.6,0.0,0.0
40,19.4,339.44,64.0,19.4,339.44,0.0,0.0
41,24.0,154.0,16.0,24.2,124.56000000000002,0.8333333333333304,19.116883116883105
42,16.6,57.040000000000006,0.0,16.6,57.040000000000006,0.0,0.0
43,28.4,857.8399999999999,32.0,29.4,239.84,3.5211267605633805,72.0414063228574
44,16.2,46.56,16.0,16.2,46.56,0.0,0.0
45,28.4,297.44,32.0,29.8,199.36,4.929577464788741,32.9747175901022
46,19.8,103.76000000000002,8.0,20.6,30.640000000000004,4.040404040404044,70.4703161141095
47,27.8,168.16,32.0,27.8,168.16,0.0,0.0
48,31.4,496.23999999999995,16.0,31.8,234.96000000000004,1.2738853503184782,52.651942608415276
49,40.8,518.56,32.0,44.4,71.44000000000001,8.82352941176471,86.22338784325825
50,25.6,320.24,64.0,26.0,272.0,1.5624999999999944,15.063702223332504
51,17.0,58.8,64.0,17.0,58.8,0.0,0.0
52,15.8,90.96,0.0,16.4,33.04,3.7974683544303662,63.67634124890061
53,26.2,364.15999999999997,64.0,27.2,238.16,3.816793893129771,34.60017574692442
54,27.2,248.56,32.0,28.2,77.76,3.6764705882352944,68.71580302542645
55,24.2,160.16,0.0,24.2,160.16,0.0,0.0
56,15.0,170.8,0.0,16.0,19.6,6.666666666666667,88.52459016393443
