seed,minsum_mean,minsum_variance,gamma,op_mean,op_variance,mean_gap_pct,variance_reduction_pct
0,29.4,377.0400000000001,64.0,31.2,112.16,6.122448979591839,70.25249310417995
1,16.4,101.04,32.0,16.4,101.04,0.0,0.0
2,30.4,253.83999999999997,32.0,31.8,170.95999999999998,4.605263157894744,32.65048849669083
3,21.2,210.16,32.0,21.2,210.16,0.0,0.0
4,26.6,420.23999999999995,0.0,28.0,106.0,5.263157894736836,74.77631829430801
5,64.4,1960.2399999999998,0.0,66.2,1742.1599999999999,2.7950310559006164,11.12516834673305
6,34.8,321.35999999999996,0.0,36.2,217.36000000000004,4.0229885057471435,32.36245954692554
7,37.4,469.03999999999996,16.0,37.8,258.15999999999997,1.0695187165775364,44.95991813064984
8,5.6,15.440000000000001,8.0,5.6,15.440000000000001,0.0,0.0
9,36.2,594.9599999999999,0.0,37.2,252.55999999999995,2.762430939226519,57.550087400833675
10,34.2,340.56,32.0,35.6,263.44,4.093567251461984,22.645055203194737
11,15.4,56.64,16.0,15.4,56.64,0.0,0.0
12,28.6,379.44,0.0,29.6,229.04000000000002,3.4965034965034962,39.63736032047227
13,17.4,103.04,4.0,18.0,90.4,3.448275862068974,12.267080745341614
14,36.8,1313.7599999999998,32.0,40.2,524.1600000000001,9.239130434782625,60.10230179028132
16,32.8,221.35999999999999,16.0,34.6,55.040000000000006,5.487804878048794,75.13552584026021
17,39.2,441.36,0.0,40.4,228.24,3.061224489795907,48.28711256117455
18,20.6,408.64,64.0,21.6,131.44000000000003,4.854368932038835,67.83476898981988
19,31.2,284.56000000000006,2.0,32.6,245.04000000000005,4.487179487179494,13.888107956142818
20,21.6,556.24,64.0,23.8,270.96000000000004,10.185185185185182,51.28721415216452
21,27.0,114.0,0.0,27.0,114.0,0.0,0.0
23,22.4,14.24,1.0,22.4,14.24,0.0,0.0
24,7.2,4.160000000000001,4.0,7.4,3.04,2.7777777777777803,26.92307692307694
25,29.2,700.56,32.0,30.8,312.56000000000006,5.479452054794526,55.38426401735752
26,27.6,1060.24,32.0,29.4,648.24,6.521739130434772,38.859126235569306
27,30.6,311.43999999999994,16.0,30.6,311.43999999999994,0.0,0.0
28,8.8,49.36,16.0,8.8,49.36,0.0,0.0
29,89.0,642.4,32.0,89.0,642.4,0.0,0.0
30,72.6,1419.44,16.0,73.2,1343.3599999999997,0.8264462809917473,5.359860226568251
31,27.8,682.1600000000001,16.0,28.6,312.64,2.8776978417266212,54.1691098862437
32,12.0,105.2,0.0,12.4,101.03999999999999,3.333333333333336,3.9543726235741548
33,21.0,274.0,64.0,21.0,274.0,0.0,0.0
34,31.6,392.24000000000007,64.0,32.6,265.03999999999996,3.1645569620253164,32.42912502549462
35,46.0,1950.8,0.0,48.8,1172.96,6.086956521739125,39.87287266762353
36,32.6,280.24,32.0,32.8,253.76,0.6134969325153243,9.449043676848422
38,29.6,48.239999999999995,8.0,29.6,48.239999999999995,0.0,0.0
39,34.4,903.0400000000002,0.0,36.0,559.6,4.651162790697679,38.03153791637138
40,9.2,10.959999999999999,4.0,9.2,10.959999999999999,0.0,0.0
41,19.8,190.95999999999998,8.0,20.4,140.64000000000001,3.0303030303030196,26.35106828655214
