variance,mean,max,total,spread,jain,gini,ede,maxmin,feasible,objective,method,runtime_s,routing_calls,evaluated,opt_gap,ede_gap,seed
362.23999999999995,48.4,77.0,242.0,60.0,0.8660751257024549,0.20330578512396702,49.99856230472666,4.529411764705882,True,362.23999999999995,ours,0.015944800004945137,755,161.0,0.0,0.3036381358964391,0
1102.8,34.0,89.0,170.0,85.0,0.5117761643350451,0.5082352941176471,38.35309886078581,22.25,True,1102.8,ours_ede,0.011966400008532219,900,190.0,2.044390459363958,0.0,0
1482.4,59.0,122.0,295.0,111.0,0.7013337631462304,0.360677966101695,63.51607449525677,11.090909090909092,False,1482.4,centroid,6.499991286545992e-06,5,,3.0923144876325095,0.6560871580627056,0
468.8,50.0,79.0,250.0,62.0,0.8420910805712746,0.24320000000000008,51.948722143744085,4.647058823529412,True,468.8,weighted_centroid,1.4699995517730713e-05,5,,0.2941696113074207,0.3544856527058662,0
841.0399999999997,40.6,76.0,203.0,67.0,0.6621515224552101,0.3783251231527094,44.08190538277318,8.444444444444445,True,841.0399999999997,geometric_median,5.810000584460795e-05,5,,1.321775618374558,0.1493701080786667,0
1102.8,34.0,89.0,170.0,85.0,0.5117761643350451,0.5082352941176471,38.35309886078581,22.25,True,1102.8,min_sum,0.014256000009481795,1855,,2.044390459363958,0.0,0
459.35999999999996,49.2,65.0,246.0,56.0,0.8405,0.21463414634146338,51.02712011412489,7.222222222222222,True,459.35999999999996,min_max,0.016432799995527603,1855,,0.2681095406360425,0.3304562507280905,0
422.55999999999995,51.8,66.0,259.0,54.0,0.8639448773262928,0.1884169884169884,53.43297599654842,5.5,True,422.55999999999995,min_range,0.014786999992793426,1855,,0.16651943462897525,0.39318536399104514,0
414.64000000000004,48.4,76.0,242.0,63.0,0.8496155520092847,0.2214876033057851,50.158983700734986,5.846153846153846,True,414.64000000000004,random,0.004871800003456883,500,,0.1446554770318024,0.30782088515982,0
362.23999999999995,48.4,77.0,242.0,60.0,0.8660751257024549,0.20330578512396702,49.99856230472666,4.529411764705882,True,362.23999999999995,exhaustive,0.010208799998508766,1855,,0.0,0.3036381358964391,0
1102.8,34.0,89.0,170.0,85.0,0.5117761643350451,0.5082352941176471,38.35309886078581,22.25,True,1102.8,exhaustive_ede,0.010065599999506958,1855,,2.044390459363958,0.0,0
37.04,14.6,24.0,73.0,17.0,0.8519584332533973,0.2301369863013698,15.150112805104671,3.4285714285714284,True,37.04,ours,0.005414800005382858,655,141.0,0.0,0.05315021878027584,1
53.839999999999996,13.6,24.0,68.0,17.0,0.7745393634840871,0.27647058823529425,14.385519306686406,3.4285714285714284,True,53.839999999999996,ours_ede,0.005672499988577329,645,139.0,0.4535637149028077,0.0,1
174.16,23.8,39.0,119.0,30.0,0.7648393194706994,0.29915966386554627,25.189228281937503,4.333333333333333,True,174.16,centroid,3.6999990697950125e-06,5,,3.701943844492441,0.751012788966855,1
40.96,16.8,27.0,84.0,17.0,0.8732673267326733,0.20952380952380967,17.34454601116844,2.7,True,40.96,weighted_centroid,8.200004231184721e-06,5,,0.10583153347732187,0.20569481305458845,1
47.760000000000005,20.2,28.0,101.0,17.0,0.8952172005265467,0.18613861386138608,20.719930928922167,2.5454545454545454,True,47.760000000000005,geometric_median,2.370000584051013e-05,5,,0.28941684665226797,0.4403324959768063,1
53.839999999999996,13.6,24.0,68.0,17.0,0.7745393634840871,0.27647058823529425,14.385519306686406,3.4285714285714284,True,53.839999999999996,min_sum,0.005206799993175082,1060,,0.4535637149028077,0.0,1
43.2,15.0,23.0,75.0,18.0,0.8389261744966443,0.2453333333333334,15.593118451815355,4.6,True,43.2,min_max,0.00446340000780765,1060,,0.16630669546436294,0.08394546761809672,1
41.839999999999996,16.4,25.0,82.0,17.0,0.8653796653796654,0.2195121951219512,16.947177145899207,3.125,True,41.839999999999996,min_range,0.005411300007835962,1060,,0.12958963282937358,0.17807197533857114,1
43.2,15.0,23.0,75.0,18.0,0.8389261744966443,0.2453333333333334,15.593118451815355,4.6,True,43.2,random,0.0028491999983089045,500,,0.16630669546436294,0.08394546761809672,1
37.04,14.6,24.0,73.0,17.0,0.8519584332533973,0.2301369863013698,15.150112805104671,3.4285714285714284,True,37.04,exhaustive,0.0048860999959288165,1060,,0.0,0.05315021878027584,1
53.839999999999996,13.6,24.0,68.0,17.0,0.7745393634840871,0.27647058823529425,14.385519306686406,3.4285714285714284,True,53.839999999999996,exhaustive_ede,0.00492120000126306,1060,,0.4535637149028077,0.0,1
0.56,8.8,10.0,44.0,2.0,0.9928205128205129,0.045454545454545414,8.815868501705474,1.25,True,0.56,ours,0.006250599995837547,690,148.0,0.0,0.1747891401379248,2
11.360000000000001,7.2,11.0,36.0,10.0,0.8202531645569621,0.24444444444444446,7.504213480106274,11.0,True,11.360000000000001,ours_ede,0.005249599998933263,690,148.0,19.285714285714285,0.0,2
12.4,9.0,15.0,45.0,9.0,0.867237687366167,0.20444444444444443,9.310375724264038,2.5,True,12.4,centroid,3.7999998312443495e-06,5,,21.142857142857142,0.2406864155645243,2
7.44,9.4,14.0,47.0,7.0,0.9223382045929018,0.15319148936170213,9.587871696174098,2.0,True,7.44,weighted_centroid,9.199997293762863e-06,5,,12.285714285714286,0.2776651039568127,2
