variance,mean,max,total,spread,jain,gini,theil,ede,maxmin,feasible,objective,method,runtime_s,routing_calls,evaluated,opt_gap,ede_gap,seed
62.96,41.2,50.0,206.0,23.0,0.964235401045217,0.1029126213592233,0.019828661442363216,41.559168203151565,1.8518518518518519,True,62.96,ours,0.04808019999836688,865,183.0,0.0,0.33679666611542786,0
262.24,29.4,50.0,147.0,42.0,0.7672288301082905,0.3074829931972789,0.16879198608988144,31.088623465764293,6.25,True,262.24,ours_ede,0.025931599997420562,890,188.0,3.165184243964422,0.0,0
147.04000000000002,36.6,50.0,183.0,34.0,0.9010897349656936,0.18142076502732252,0.0614344375533923,37.4768556359307,3.125,True,147.04000000000002,centroid,1.1199997970834374e-05,5,,1.3354510800508261,0.20548456181089245,0
192.56,33.2,52.0,166.0,43.0,0.8512820512820513,0.21927710843373505,0.10440125663242279,34.39234283102337,5.777777777777778,True,192.56,weighted_centroid,1.750000228639692e-05,5,,2.0584498094027954,0.10626779178232933,0
178.64000000000001,31.4,46.0,157.0,39.0,0.8466082775201786,0.2242038216560509,0.11545987991999282,32.53720971584537,6.571428571428571,True,178.64000000000001,geometric_median,0.0005354000022634864,5,,1.8373570520965694,0.046595380836861565,0
262.24,29.4,50.0,147.0,42.0,0.7672288301082905,0.3074829931972789,0.16879198608988144,31.088623465764293,6.25,True,262.24,min_sum,0.03189189999829978,2715,,3.165184243964422,0.0,0
187.76,33.2,42.0,166.0,36.0,0.8544496124031008,0.18313253012048203,0.1188252834181605,34.30678728018889,7.0,True,187.76,min_max,0.028451199999835808,2715,,1.982210927573062,0.10351580274914829,0
62.96,41.2,50.0,206.0,23.0,0.964235401045217,0.1029126213592233,0.019828661442363216,41.559168203151565,1.8518518518518519,True,62.96,min_range,0.03917790000195964,2715,,0.0,0.33679666611542786,0
95.76,41.2,55.0,206.0,30.0,0.9465982600936873,0.12815533980582527,0.029634954212986155,41.74298924350059,2.2,True,95.76,random,0.008582899998145876,500,,0.5209656925031767,0.3427094734338816,0
62.96,41.2,50.0,206.0,23.0,0.964235401045217,0.1029126213592233,0.019828661442363216,41.559168203151565,1.8518518518518519,True,62.96,exhaustive,0.0340001000004122,2715,,0.0,0.33679666611542786,0
262.24,29.4,50.0,147.0,42.0,0.7672288301082905,0.3074829931972789,0.16879198608988144,31.088623465764293,6.25,True,262.24,exhaustive_ede,0.022906499998498475,2715,,3.165184243964422,0.0,0
