seed,minsum_mean,minsum_variance,gamma,op_mean,op_variance,mean_gap_pct,variance_reduction_pct
0,28.6,787.4399999999999,64.0,31.6,347.43999999999994,10.489510489510488,55.877273189068376
2,4.8,1.3599999999999999,0.5,5.0,0.4,4.1666666666666705,70.58823529411764
3,15.6,201.83999999999997,16.0,16.4,135.44,5.128205128205121,32.89734443123265
4,27.2,512.16,0.0,28.0,253.6,2.941176470588238,50.48422368009996
5,28.6,97.04,8.0,29.6,49.839999999999996,3.4965034965034962,48.63973619126134
6,15.6,267.43999999999994,64.0,16.6,182.64000000000001,6.410256410256421,31.70804666467243
7,10.6,32.239999999999995,32.0,10.6,32.239999999999995,0.0,0.0
8,11.2,71.75999999999999,64.0,11.2,71.75999999999999,0.0,0.0
9,40.6,405.84,0.0,42.2,368.56,3.9408866995073923,9.185886063473284
11,41.4,793.44,2.0,42.2,540.1600000000001,1.9323671497584645,31.921758419036088
12,22.4,332.24000000000007,16.0,23.2,138.56,3.5714285714285747,58.295208283168805
13,21.8,90.96,16.0,21.8,90.96,0.0,0.0
14,23.2,192.56,32.0,23.8,162.56,2.5862068965517304,15.57955961778147
15,5.0,15.6,4.0,5.0,7.6,0.0,51.282051282051285
16,44.0,1028.8,64.0,49.8,327.36,13.181818181818176,68.18040435458788
17,36.4,394.24,0.0,37.0,238.4,1.6483516483516523,39.52922077922078
18,35.4,1729.8399999999997,64.0,38.4,837.0400000000002,8.474576271186441,51.6117097535032
19,13.2,58.96,8.0,13.8,34.160000000000004,4.5454545454545565,42.062415196743544
20,12.0,46.8,16.0,12.0,35.6,0.0,23.931623931623925
21,29.0,325.2,0.0,29.0,325.2,0.0,0.0
22,6.2,15.76,8.0,6.4,12.240000000000002,3.225806451612906,22.335025380710647
23,17.0,330.8,32.0,18.2,202.95999999999998,7.058823529411761,38.64570737605805
24,9.0,28.8,32.0,9.0,28.8,0.0,0.0
25,23.4,241.04000000000002,0.0,23.4,241.04000000000002,0.0,0.0
26,10.6,55.04,16.0,11.0,45.2,3.773584905660381,17.877906976744182
27,41.4,435.03999999999996,0.0,42.4,429.84000000000003,2.4154589371980677,1.1952923869069354
28,12.0,162.4,64.0,12.6,106.63999999999999,4.999999999999997,34.334975369458135
29,19.0,92.8,16.0,19.8,59.36,4.210526315789477,36.03448275862069
30,15.2,186.16,32.0,15.2,186.16,0.0,0.0
31,14.4,177.84,0.0,14.6,148.64000000000001,1.388888888888884,16.41925326135852
32,5.2,0.5599999999999999,0.0,5.2,0.5599999999999999,0.0,0.0
33,16.4,138.64000000000001,32.0,16.4,138.64000000000001,0.0,0.0
34,15.2,120.96,16.0,15.8,109.36000000000001,3.947368421052641,9.589947089947074
35,36.6,377.03999999999996,0.0,37.2,354.56,1.6393442622950858,5.962232123912573
36,21.0,819.6,64.0,21.8,382.96,3.809523809523813,53.27476817959981
37,16.8,160.96,32.0,17.2,102.55999999999999,2.3809523809523725,36.28230616302188
38,34.4,399.04,0.0,35.4,317.03999999999996,2.906976744186047,20.54931836407379
39,21.2,419.75999999999993,0.0,21.8,77.35999999999999,2.83018867924529,81.57042119306271
40,10.0,80.8,8.0,10.0,54.4,0.0,32.67326732673268
41,21.0,668.8,64.0,23.4,319.44,11.428571428571422,52.23684210526315
42,15.0,118.8,32.0,15.0,118.8,0.0,0.0
43,27.4,1523.4399999999998,64.0,33.2,418.16,21.16788321167885,72.55159376148715
44,10.6,87.43999999999998,16.0,10.6,87.43999999999998,0.0,0.0
45,24.8,323.76,32.0,24.8,323.76,0.0,0.0
46,21.6,374.64,8.0,21.8,264.56,0.9259259259259226,29.38287422592355
47,32.2,715.36,64.0,33.4,527.4399999999999,3.726708074534148,26.26929098635653
48,24.8,82.55999999999999,0.0,24.8,82.55999999999999,0.0,0.0
49,32.4,898.6400000000001,8.0,33.6,556.24,3.7037037037037126,38.10202083147868
50,25.0,609.2,64.0,25.8,429.36,3.200000000000003,29.52068286277085
51,11.8,10.959999999999999,8.0,11.8,10.959999999999999,0.0,0.0
52,10.4,170.64000000000004,64.0,11.2,114.96000000000001,7.692307692307681,32.630098452883274
